team_num,reading_type,time_diff,date_time,lat,lon,sea_temp,air_temp
7,ship,A,01/29/2008 A,-4.3,4,NA,26
7,ship,A,01/30/2008 A,-6.6,5,NA,25.8
7,ship,A,01/31/2008 A,-8.9,6,NA,25
7,ship,A,02/04/2008 A,-19.8,7,24,22.3
7,ship,0,02/15/2008 12:00:00,-17.9,2,25.6,23.6
7,ship,A,02/19/2008 A,-14.1,3,26.6,23.8
7,ship,A,02/20/2008 A,-20.4,8,24.1,22.6
7,ship,A,02/23/2008 A,-2.6,2,NA,28
7,ship,A,02/24/2008 A,-3.3,1,NA,27.8
7,ship,0,02/24/2008 12:00:00,-4.8,4,NA,26.2
7,ship,A,02/25/2008 A,-6.4,7,NA,27.4
7,ship,0,02/25/2008 12:00:00,-7.8,9,NA,29
7,ship,A,02/01/2008 A,-1.9,6,29.8,27.3
7,ship,0,02/01/2008 12:00:00,-0.7,3,28.5,28.8
7,ship,A,02/02/2008 A,-13.5,8,NA,NA
7,ship,A,02/03/2008 A,-15.6,9,NA,24.2
7,ship,0,03/11/2008 12:00:00,-23.2,10,23.6,22.5
7,ship,A,03/11/2008 A,-21.6,9,24.4,22
7,ship,A,03/12/2008 A,-18.1,6,25.5,24
7,ship,A,03/13/2008 A,-13,1,27.5,25.5
7,ship,A,03/26/2008 A,-5.7,10,NA,28
7,ship,0,03/26/2008 12:00:00,-5.5,7,NA,31.2
7,ship,A,03/27/2008 A,-5.2,3,NA,27.6
7,ship,0,03/03/2008 12:00:00,2.3,2,30.7,29.2
7,ship,A,03/04/2008 A,2.8,3,NA,28.2
7,ship,0,03/04/2008 12:00:00,3.3,5,31,29.9
7,ship,A,03/05/2008 A,3.7,8,30,27.9
7,ship,A,03/07/2008 A,2.1,9,NA,28.1
7,ship,A,03/24/2008 A,-26.7,10,20.9,20.7
7,ship,A,03/25/2008 A,-25.9,9,21.1,20.8
7,ship,0,03/25/2008 12:00:00,-24.4,7,21.8,22.8
7,ship,A,04/12/2008 A,4.9,6,32.1,30.2
7,ship,A,04/13/2008 A,3.9,4,NA,30
7,ship,0,04/13/2008 12:00:00,1.9,1,NA,32
7,ship,A,04/16/2008 A,-13.2,10,26.9,25.7
7,ship,0,04/16/2008 12:00:00,-14,10,26.7,25.8
7,ship,A,04/17/2008 A,-15.4,8,20.1,24.5
7,ship,A,04/19/2008 A,-17.5,6,25.1,23.8
7,ship,0,04/19/2008 12:00:00,-18.4,3,24.5,23.4
7,ship,A,04/20/2008 A,-21.2,5,23.6,22.6
7,ship,0,04/20/2008 12:00:00,-22.9,4,23,21.7
7,ship,A,04/21/2008 A,-24.6,7,22,19.3
